h,a,s1,s2,f1,f2,c,ogfos,ec1,ec2,ec3,ec4
5.00,10.00,3.00,3.00,25.00,15.00,0.10,1.95,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,25.00,15.00,10.00,3.11,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,25.00,15.00,20.00,4.12,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,25.00,20.00,0.10,2.46,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,25.00,20.00,10.00,3.46,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,25.00,20.00,20.00,4.30,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,25.00,25.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,25.00,25.00,10.00,3.66,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,25.00,25.00,20.00,4.41,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,30.00,15.00,0.10,2.08,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,30.00,15.00,10.00,3.24,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,30.00,15.00,20.00,4.41,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,30.00,20.00,0.10,2.58,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,30.00,20.00,10.00,3.74,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,30.00,20.00,20.00,4.74,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,30.00,25.00,0.10,3.12,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,30.00,25.00,10.00,4.10,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,30.00,25.00,20.00,4.97,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,35.00,15.00,0.10,2.22,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,35.00,15.00,10.00,3.37,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,35.00,15.00,20.00,4.54,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,35.00,20.00,0.10,2.72,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,35.00,20.00,10.00,3.88,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,35.00,20.00,20.00,5.05,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,35.00,25.00,0.10,3.26,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,35.00,25.00,10.00,4.42,0.00,0.00,0.00,0.00
5.00,10.00,3.00,3.00,35.00,25.00,20.00,5.42,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,25.00,15.00,0.10,1.73,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,25.00,15.00,10.00,2.54,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,25.00,15.00,20.00,3.37,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,25.00,20.00,0.10,2.26,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,25.00,20.00,10.00,3.08,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,25.00,20.00,20.00,3.91,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,25.00,25.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,25.00,25.00,10.00,3.66,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,25.00,25.00,20.00,4.41,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,30.00,15.00,0.10,1.78,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,30.00,15.00,10.00,2.59,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,30.00,15.00,20.00,3.42,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,30.00,20.00,0.10,2.32,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,30.00,20.00,10.00,3.13,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,30.00,20.00,20.00,3.95,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,30.00,25.00,0.10,2.89,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,30.00,25.00,10.00,3.71,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,30.00,25.00,20.00,4.53,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,35.00,15.00,0.10,1.84,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,35.00,15.00,10.00,2.65,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,35.00,15.00,20.00,3.47,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,35.00,20.00,0.10,2.37,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,35.00,20.00,10.00,3.19,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,35.00,20.00,20.00,4.01,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,35.00,25.00,0.10,2.95,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,35.00,25.00,10.00,3.76,0.00,0.00,0.00,0.00
5.00,10.00,3.00,6.00,35.00,25.00,20.00,4.59,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,25.00,15.00,0.10,1.73,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,25.00,15.00,10.00,2.49,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,25.00,15.00,20.00,3.18,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,25.00,20.00,0.10,2.26,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,25.00,20.00,10.00,3.07,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,25.00,20.00,20.00,3.77,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,25.00,25.00,0.10,2.73,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,25.00,25.00,10.00,3.66,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,25.00,25.00,20.00,4.41,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,30.00,15.00,0.10,1.78,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,30.00,15.00,10.00,2.53,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,30.00,15.00,20.00,3.22,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,30.00,20.00,0.10,2.32,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,30.00,20.00,10.00,3.12,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,30.00,20.00,20.00,3.81,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,30.00,25.00,0.10,2.89,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,30.00,25.00,10.00,3.71,0.00,0.00,0.00,0.00
5.00,10.00,3.00,9.00,30.00,25.00,20.00,4.44,0.00,0.00,0.00,0.00
